stock,price_to_earnings,g,price_to_book,return_on_equity,book_to_market,price_to_cash_flow,dividend_yield,beta,price_to_sales,payout_ratio,dividend,earnings_per_share,price,firme,market_cap,revenue,shares_outstanding,employees,sector,indices
ORP,28.67,0.1349,2.15,0.0782,46.68,600.01,0.0141,0.62,1.73,0.33140000000000003,1.43,3.5,101.4,Orpea SA (ORP),6.47B,3.74B,64570695,65020,Etablissements de santé,cac next 20
PERP,108.82,0.0961,2.65,0.0642,53.15,102.6,0.0221,0.59,4.2,0.436,3.12,1.54,135.3,Pernod Ricard SA (PERP),35.3B,9.18B,263825497,19140,Boissons (alcoolisées),cac 40
PEUP,4.01,0.1052,0.75,0.1038,21.83,5.05,0.0283,1.64,0.24,0.0,1.23,3.4,13.64,Peugeot SA (PEUP),11.9B,110.16B,894884478,196885,Constructeurs automobiles et de camions,cac 40
PLOF,382.48,0.0,1.82,-0.15539999999999998,11.9,44.43,0.0226,1.93,0.45,0.436,0.49,-2.07,22.12,Compagnie Plastic Omnium SA (PLOF),3.16B,11.46B,145444918,23179,Pièces automobiles et de camions,cac mid 60
PRTP,27.6,0.2026,7.57,0.18960000000000002,79.21,228.15,0.0133,1.1,5.56,0.0722,11.5,17.28,477.0,Kering SA (PRTP),59.43B,23.12B,126279322,38068,Détaillants (vêtements),cac 40
PUBP,8.27,-0.1466,1.01,0.092,29.49,3.93,0.0386,0.75,0.63,0.4382,2.3,3.54,29.28,Publicis Groupe (PUBP),6.9B,16.23B,236956827,73853,Publicité,cac 40
RCOP,78.02,-0.1537,5.31,0.0755,28.13,102.6,0.0067,0.16,7.32,0.4696,1.0,1.92,150.7,Rémy Cointreau (RCOP),7.45B,1.02B,49849721,1853,Boissons (alcoolisées),cac mid 60
RENA,12.05,0.1052,0.27,-0.2729,88.99,8.93,0.0283,1.54,0.15,0.436,1.1,-0.54,18.48,Renault SA (RENA),5.28B,83B,291022000,183002,Constructeurs automobiles et de camions,cac 40
ROBF,44.58,0.0282,5.18,0.1225,197.61,68.44,0.0049,0.34,4.23,0.2178,5.0,22.97,1.022,Robertet (ROBF),2.36B,554.27M,2308095,1940,Produits personnels et ménagers,cac mid 60
RUBF,23.33,0.0931,1.52,0.0664,23.58,46.88,0.0487,0.83,0.82,1.1189,1.75,1.54,38.7,Rubis SCA (RUBF),3.72B,7.14B,103520893,3519,Activités pétrolières et gazières,cac mid 60
RXL,25.63,0.0105,0.9,-0.1017,12.21,11.53,0.0307,1.78,0.26,0.436,0.48,-1.32,11.48,Rexel (RXL),3.32B,19.79B,302353101,22908,Instruments et commandes électroniques,cac mid 60
SAF,12.81,0.1987,3.42,0.0556,28.48,29.31,0.0209,1.27,1.8,1.5064,2.38,5.62,72.0,Safran SA (SAF),35.56B,36.73B,477028673,95443,Aérospatiale et défense,cac 40
SASY,36.34,0.021,1.75,0.1862,50.5,53.06,0.0357,0.57,2.95,0.3546,3.15,2.31,84.0,Sanofi SA (SASY),102.43B,56.27B,1253826630,100409,Biotechnologie et médicaments,cac 40
SCHN,18.93,0.07719999999999999,2.82,0.10869999999999999,37.99,29.18,0.0238,1.05,2.38,0.6381,2.55,4.33,81.98,Schneider Electric SE (SCHN),45.11B,40.56B,551021671,151297,Instruments et commandes électroniques,cac 40
SCOR,27.17,0.0318,0.68,0.026099999999999998,34.19,11.36,0.0525,1.2,0.26,0.0,1.8,0.86,24.12,SCOR (SCOR),4.36B,25.54B,186284798,3028,Assurance (biens et multirisques),cac next 20
SEBF,24.9,-0.0597,3.08,0.1291,45.43,25.29,0.0102,1.0,1.02,0.254,1.43,5.62,140.1,SEB SA (SEBF),6.99B,10.27B,49939417,33293,Appareils et outils,cac mid 60
SESFd,16.83,-0.3669,0.46,0.0274,13.28,6.01,0.056,1.1,1.42,0.7828,0.34,0.36,6.27,SES SA (SESFd),2.79B,2.94B,558590436,2159,Services de communication,cac mid 60
SEVI,25.66,-0.1154,1.67,-0.0766,8.77,15.75,0.0307,0.88,0.53,0.436,0.45,-0.71,15.04,Suez SA (SEVI),9.16B,26.18B,625149144,82536,Services de gestion des déchets,cac next 20
SGEF,12.37,-0.0096,2.3,0.0859,33.71,14.4,0.016200000000000003,0.83,1.04,0.4315,3.05,5.81,71.92,Vinci SA (SGEF),40.09B,72.86B,554745990,222000,Services de construction,cac 40
SGOB,9.77,0.0308,1.1,0.015700000000000002,33.3,15.8,0.0306,1.21,0.51,2.6434,1.38,2.58,25.24,Compagnie de Saint-Gobain SA (SGOB),13.48B,63.56B,542087728,170643,Construction - matériaux et équipements,cac 40
SOGN,4.77,0.4997,0.18,-0.0123,71.82,4.79,0.0593,1.66,0.4,0.436,2.2,3.06,14.6,Societe Generale SA (SOGN),12.04B,43.34B,845140139,138240,Banques régionales,cac 40
SOIT,39.03,-0.1563,7.87,0.2327,16.63,279.81,0.0503,2.12,7.26,0.0,1.43,3.35,126.0,Soitec SA (SOIT),4.34B,597.55M,33176479,1566,Semi-conducteurs,cac mid 60
SOLB,19.63,0.0282,1.1,-0.2253,72.82,16.01,0.0326,1.32,0.81,0.436,1.57,-19.1,80.84,Solvay SA (SOLB),8.32B,10.51B,103410650,24100,Produits chimiques - plastiques et caoutchouc,cac next 20
SOPR,19.88,0.1353,2.02,0.1076,68.85,8.54,0.0136,1.4,0.65,0.0,2.4,7.01,141.2,Sopra Steria Group SA (SOPR),2.83B,6.6B,20271782,46603,Services informatiques,cac mid 60
SPIE,35.49,-0.3155,1.71,0.048600000000000004,9.05,8.98,0.011,1.55,0.36,0.0,0.61,0.44,15.68,Spie SA (SPIE),2.44B,10.01B,157697734,47446,Services de construction,cac mid 60
STDM,108.42,-0.068,21.95,0.2173,13.66,227.24,0.0011,0.35,17.27,0.2447,0.34,2.77,293.0,Sartorius Stedim Biotech SA (STDM),27.64B,1.6B,92180190,6690,Matériel médical et fournitures,cac mid 60
STM,68.41,-0.1121,3.91,0.08220000000000001,6.87,64.59,0.0061,1.25,3.01,0.1284,0.21,0.31,20.55,STMicroelectronics NV (STM),18.63B,369.64M,887810197,43480,Semi-conducteurs,cac 40
TCFP,14.1,-0.2789,2.99,0.1263,22.77,18.04,0.0088,0.68,0.81,0.0,2.65,5.26,74.22,Thales (TCFP),15.25B,26.8B,212756640,82605,Matériel de communication,cac 40
TEPRF,47.4,0.2267,6.34,0.1366,40.37,32.83,0.009399999999999999,0.67,2.76,0.44310000000000005,2.4,5.4,256.0,Teleperformance SE (TEPRF),15.24B,5.45B,58727599,331065,Business Services,cac 40
TFFP,14.1,-0.0667,0.76,0.054299999999999994,7.56,20.38,0.0339,0.92,0.58,1.2238,0.5,0.41,5.85,Télévision Française 1 SA (TFFP),1.21B,2.08B,210242074,3202,Audiovisuel et télévision par câble,cac mid 60
TKTT,15.59,0.0318,0.82,-0.0434,11.5,2.46,0.0259,1.21,0.22,0.436,1.43,-0.51,9.55,Tarkett (TKTT),620.76M,4.23B,65550281,12950,Produits en plastique et en caoutchouc,cac mid 60
TOTF,8.87,0.0526,0.97,-0.0296,33.12,16.23,0.0833,0.88,0.69,0.436,2.68,3.83,34.27,Total SA (TOTF),86.52B,3.88B,2586406841,107776,Activités pétrolières et gazières,cac 40
TRIA,13.45,0.2599,2.35,0.18600000000000003,47.92,36.23,0.0178,1.11,0.92,0.2402,2.0,8.36,111.5,Trigano SA (TRIA),2.17B,2.35B,19280200,8735,Produits de loisirs,cac mid 60
UBIP,30.79,0.0809,6.68,-0.1124,10.87,17.9,0.0115,0.97,5.56,0.436,1.43,-1.08,72.34,Ubisoft Entertainment SA (UBIP),8.79B,1.59B,120910645,18045,Logiciels et programmation,cac next 20
URW,7.55,-0.191,0.24,-0.1423,169.91,14.09,0.135,1.46,1.81,0.436,10.8,7.79,58.88,WFD Unibail Rodamco NV (URW),8.16B,4.92B,138378605,3625,Opérations immobilières,cac 40
VIE,14.85,-0.145,1.98,0.0478,9.54,14.28,0.0265,0.66,0.41,2.1265,0.5,1.26,18.77,Veolia (VIE),10.24B,40.55B,554756150,178780,Services de gestion des déchets,cac 40
VIRB,22.86,0.0254,3.01,0.1394,64.97,15.25,0.0352,0.87,1.74,0.0,1.43,8.57,200.0,Virbac SA (VIRB),1.65B,1.42B,8435609,4897,Biotechnologie et médicaments,cac mid 60
VIV,16.1,0.1447,1.68,0.11259999999999999,14.64,132.84,0.0244,0.73,1.8,0.0412,0.6,1.3,20.88,Vivendi SA (VIV),24.59B,23.37B,1170575000,43900,Industrie cinématographique,cac 40
VLLP,9.48,0.2013,0.41,-0.6629,49.05,27.77,0.0859,2.53,0.06,0.436,1.43,-64.5,20.67,Vallourec SA (VLLP),229.65M,5.67B,11445379,17401,Puits de pétrole - services et équipement,cac mid 60
VLOF,20.15,-0.4571,1.96,-0.2747,13.66,32.17,0.0075,1.97,0.39,0.436,0.2,-4.45,27.83,Valeo SA (VLOF),6.42B,26.54B,239452552,114700,Biens d'équipement (divers),cac next 20
WLN,52.82,0.0,4.27,0.0629,17.92,46.59,0.0522,0.95,6.05,0.0,1.43,1.08,56.82,Worldline SA (WLN),10.56B,2.05B,182644703,11609,Services financiers aux consommateurs,cac 40
